Field,Subfield,Topic,Description
Data Science,Concepts,NoSQL,NoSQL databases handle unstructured or semi-structured data.
Data Science,Concepts,Data Warehouse,A data warehouse stores large amounts of historical data.
Data Science,Concepts,Pandas,Pandas is a Python library for data manipulation.
Data Science,Concepts,NumPy,NumPy is a Python library for numerical computations.
Data Science,Concepts,Matplotlib,Matplotlib is a Python library for data visualization.
Data Science,Concepts,Seaborn,Seaborn is a Python library for statistical visualizations.
Data Science,Concepts,Power BI,Power BI is a Microsoft tool for interactive data visualization.
Data Science,Concepts,Tableau,Tableau is a platform for creating interactive dashboards.
Data Science,Concepts,Statistical Analysis,Statistical analysis uses math to interpret data.
Data Science,Concepts,Hypothesis Testing,Hypothesis testing evaluates assumptions about data.
Data Science,Concepts,P Value,P-value measures the strength of evidence against a hypothesis.
Data Science,Concepts,Correlation,Correlation measures the relationship between variables.
Data Science,Concepts,Regression Analysis,Regression analysis models relationships between variables.
Data Science,Concepts,Time Series Analysis,Time series analysis studies data points over time.
Data Science,Concepts,Data Cleaning,Data cleaning removes errors and inconsistencies.
Data Science,Concepts,Missing Data,Missing data is handled by imputation or removal.
Data Science,Concepts,Outlier Detection,Outlier detection identifies unusual data points.
Data Science,Concepts,Data Normalization,Data normalization scales data to a standard range.
Data Science,Concepts,Feature Selection,Feature selection chooses relevant variables for analysis.
Data Science,Concepts,Data Ethics,Data ethics ensures responsible and fair data use.
Introduction to AI,Concepts,AI Definition,Artificial Intelligence (AI) is the simulation of human intelligence in machines to perform tasks like reasoning and learning.
Introduction to AI,Concepts,AI History,AI began in the 1950s with pioneers like Alan Turing; milestones include expert systems and deep learning advancements.
Introduction to AI,Concepts,AI vs ML vs DL,AI is the broad concept of intelligent machines; ML is a subset where systems learn from data; DL uses deep neural networks.
Introduction to AI,Concepts,Depth Limited Search,Depth Limited Search restricts DFS to a depth limit to avoid infinite loops.
Introduction to AI,Concepts,Uniform Cost Search,Uniform Cost Search finds the lowest-cost path by exploring nodes with the least total cost first.
Introduction to AI,Concepts,Iterative Deepening DFS,Iterative Deepening DFS combines BFS's completeness with DFS's low memory use by increasing depth limits.
Introduction to AI,Concepts,Beam Search,Beam Search optimizes Best First Search by limiting the search to top-k promising nodes.
Introduction to AI,Concepts,A Star Algorithm,A* (A Star) uses heuristics plus path cost to find the optimal path efficiently.
Introduction to AI,Concepts,State Space Search,State Space Search models problems like the Eight Tile Puzzle as states and transitions.
Introduction to AI,Concepts,Knowledge Representation,Knowledge Representation (KR) organizes information for AI reasoning and decision-making.
Introduction to AI,Concepts,Propositional Logic,Propositional Logic uses true/false statements with syntax and inference rules for reasoning.
Introduction to AI,Concepts,First Order Logic,First-Order Logic (FOL) uses predicates and quantifiers to represent complex relationships.
Introduction to AI,Concepts,Forward Chaining,Forward chaining starts with facts and applies rules to reach conclusions.
Introduction to AI,Concepts,Backward Chaining,Backward chaining starts with goals and works backward to find supporting facts.
Introduction to AI,Concepts,Inference Engine,An inference engine applies rules to derive conclusions in expert systems.
Introduction to AI,Concepts,Knowledge Acquisition,Knowledge acquisition gathers expert knowledge for AI systems.
Introduction to AI,Concepts,Rule Based vs Case Based,Rule-based systems use predefined rules; case-based systems reason from past examples.
Introduction to AI,Concepts,Semantic Networks,Semantic networks represent knowledge as nodes (concepts) and edges (relationships).
Introduction to AI,Concepts,Frames Knowledge,Frames organize knowledge into structured attributes for reasoning.
Introduction to AI,Concepts,Scripts Knowledge,Scripts represent stereotypical event sequences for contextual understanding.
Introduction to AI,Concepts,Bayes Theorem,Bayes Theorem calculates conditional probabilities for uncertain reasoning.
Introduction to AI,Concepts,Bayesian Belief Networks,Bayesian Belief Networks model probabilistic relationships among variables.
Introduction to AI,Concepts,Adversarial Search,Adversarial search models competitive environments like games.
Introduction to AI,Concepts,Minimax Algorithm,Minimax algorithm evaluates game moves to minimize loss and maximize gain.
Introduction to AI,Concepts,Alpha Beta Pruning,Alpha-Beta Pruning optimizes Minimax by eliminating unpromising branches.
Introduction to AI,Concepts,Linear Regression,Linear Regression models linear relationships between variables for prediction.
Introduction to AI,Concepts,Logistic Regression,Logistic Regression predicts binary outcomes using a sigmoid function.
Introduction to AI,Concepts,Hyperparameter Tuning,Hyperparameter tuning optimizes model settings for better performance.
Introduction to AI,Concepts,Decision Trees,Decision Trees split data based on feature conditions for classification or regression.
Introduction to AI,Concepts,Random Forests,Random Forests combine multiple decision trees for improved accuracy.
Introduction to AI,Concepts,Support Vector Machines,SVMs find the optimal hyperplane to separate data classes.
Introduction to AI,Concepts,K Means Clustering,K-Means Clustering groups data into K clusters based on similarity.
Introduction to AI,Concepts,Artificial Neural Networks,ANNs mimic human brains with interconnected nodes for learning.
Introduction to AI,Concepts,Multi Layer Perceptron,MLP is a feedforward ANN with multiple layers and backpropagation.
Introduction to AI,Concepts,Transfer Learning,Transfer Learning reuses pre-trained models for new tasks.
Networking,Overview,Objective,Introduce fundamental networking concepts and practical configurations using tools like Packet Tracer.
Networking,Tools,Software Tool,Packet Tracer is used for simulating network topologies and configurations.
Networking,Concepts,Introduction to Packet Tracer,Packet Tracer is a simulation tool for designing and testing network setups.
Networking,Concepts,Adding a Switch,Switches improve network efficiency by directing traffic to specific devices.
Networking,Concepts,Configuring IP Addresses,Assign IP addresses and subnet masks to hosts for network communication.
Networking,Concepts,Duplex Auto,Auto-duplex negotiates speed and duplex settings between devices.
Networking,Concepts,Deleting a Device or Link,Remove devices or connections in Packet Tracer to modify topologies.
Networking,Concepts,Ipconfig,Displays IP configuration details of a device.
Networking,Concepts,Getmac,Retrieves the MAC address of a device.
Networking,Concepts,Ping,Tests connectivity between devices using ICMP packets.
Networking,Concepts,Loopback Address,127.0.0.1 is used to test local network stack.
Networking,Concepts,Ping Website,Tests connectivity to a website using its domain name or IP.
Networking,Concepts,Check Server IP,Identifies the IP address of a server for connectivity.
Networking,Concepts,Statically Check IP,Manually verify IP address assignments.
Networking,Concepts,Check Domain Name,Resolves domain names to IP addresses using tools like nslookup.
Networking,Concepts,DNS Cache,Displays cached DNS entries for faster name resolution.
Networking,Concepts,Hybrid Topology,Combines multiple topologies for flexibility and scalability.
Networking,Concepts,Spanning Tree Protocol,Prevents switching loops by creating a loop-free topology.
Networking,Concepts,STP Root Bridge,Elects a central bridge to manage network traffic flow.
Networking,Concepts,Root Ports,Ports closest to the root bridge in STP for optimal data paths.
Networking,Concepts,Designated Ports,Forward traffic in STP to prevent loops.
Networking,Concepts,Basic STP Configuration,Commands to enable and tune STP on switches.
Networking,Concepts,VLAN,Virtual LANs segment networks logically without physical separation.
Networking,Concepts,Inter-VLAN Routing,Router on a stick enables communication between VLANs.
Networking,Concepts,Troubleshooting Port Connectivity,Diagnose issues like duplex mismatches or incorrect configurations.
Networking,Concepts,Configure Hostname,Assigns a name to a switch for easy identification.
Networking,Concepts,Configure VLAN 1,Default VLAN configuration for switch management.
Networking,Concepts,Configure Time,Sets the current time on network devices for logging.
Networking,Concepts,Configure Passwords,Secures access to network devices.
Networking,Concepts,Login Banner,Displays a message before login for security or information.
Networking,Concepts,Configure Router,Sets up router interfaces and routing protocols.
Networking,Concepts,Duplex Mismatch,Solves speed/duplex conflicts causing network issues.
Networking,Concepts,Port Security,Limits MAC addresses on switch ports to enhance security.
Networking,Concepts,Secure Unused Ports,Disables unused switch ports to prevent unauthorized access.
Networking,Concepts,Manage Switch Config,Saves or backs up switch configurations.
Networking,Concepts,Set Subnet Mask,Configures subnet masks for proper network segmentation.
Networking,Concepts,Static Routing,Manually defines routes for predictable network paths.
Networking,Concepts,Static Routing Disadvantages,Lacks scalability and adaptability for dynamic networks.
Networking,Concepts,RIP,Routing Information Protocol dynamically shares routing info using distance-vector.
Networking,Concepts,OSPF,Open Shortest Path First uses link-state for efficient dynamic routing.
Networking,Concepts,DHCP,Dynamic Host Configuration Protocol automatically assigns IP addresses.
Networking,Concepts,DNS,Domain Name System resolves domain names to IP addresses.
Networking,Concepts,Web Server Configuration,Sets up servers for hosting web content.
Networking,Concepts,CLI Commands for VLAN,Configures VLANs using command-line interface.
